# ETRA - Database Indirizzi e Codici per Raccolta Rifiuti
# Formato: INDIRIZZO | COMUNE | CODICE_INDIRIZZO | CODICE_COMUNE

CON.DA ECCHELE | ASIAGO | VIA-A465-94-819 | COM-A465-94
CON.DA RONCALTO | ASIAGO | VIA-A465-94-671 | COM-A465-94
CORSO IV NOVEMBRE | ASIAGO | VIA-A465-94-71995 | COM-A465-94
GALL. MONS. B. FORTUNATO | ASIAGO | VIA-A465-94-741 | COM-A465-94
LARGO ODEGAR | ASIAGO | VIA-A465-94-72003 | COM-A465-94
P.LE DEGLI EROI | ASIAGO | VIA-A465-94-537 | COM-A465-94
P.LE STADIO DEL GHIACCIO | ASIAGO | VIA-A465-94-562 | COM-A465-94
P.TTA DEGLI ALPINI | ASIAGO | VIA-A465-94-567 | COM-A465-94
P.TTA DELLA CROCE | ASIAGO | VIA-A465-94-508 | COM-A465-94
P.TTA DELLA PESA | ASIAGO | VIA-A465-94-524 | COM-A465-94
P.TTA VECCHIA DISTILLERIA | ASIAGO | VIA-A465-94-1136 | COM-A465-94
P.ZZA B. CAIROLI | ASIAGO | VIA-A465-94-394 | COM-A465-94
P.ZZA BEATA G.M.BONOMO | ASIAGO | VIA-A465-94-70007 | COM-A465-94
P.ZZA DELLA REGGENZA | ASIAGO | VIA-A465-94-556 | COM-A465-94
P.ZZA DELLE POSTE | ASIAGO | VIA-A465-94-1152 | COM-A465-94
P.ZZA G. PERTILE | ASIAGO | VIA-A465-94-1151 | COM-A465-94
P.ZZA G.CARLI | ASIAGO | VIA-A465-94-546 | COM-A465-94
P.ZZA II RISORGIMENTO | ASIAGO | VIA-A465-94-687 | COM-A465-94
P.ZZA MAZZINI | ASIAGO | VIA-A465-94-518 | COM-A465-94
PARCO BRIGATA REGINA | ASIAGO | VIA-A465-94-72005 | COM-A465-94
STR.LLA  ZOCCHI | ASIAGO | VIA-A465-94-71977 | COM-A465-94
STR.LLA KABERLABA | ASIAGO | VIA-A465-94-662 | COM-A465-94
STR.LLA PRATI DEGLI ZOCCHI | ASIAGO | VIA-A465-94-1234 | COM-A465-94
STRADA DELLA FRATELLANZA | ASIAGO | VIA-A465-94-811 | COM-A465-94
STRADA MONTE INTERROTTO | ASIAGO | VIA-A465-94-763 | COM-A465-94
V.LE BTG. SETTE  COMUNI | ASIAGO | VIA-A465-94-502 | COM-A465-94
V.LE DEGLI EROI | ASIAGO | VIA-A465-94-503 | COM-A465-94
V.LE DELLA VITTORIA | ASIAGO | VIA-A465-94-526 | COM-A465-94
V.LO DEGLI ORTI | ASIAGO | VIA-A465-94-536 | COM-A465-94
V.LO DEL MOLIN | ASIAGO | VIA-A465-94-1157 | COM-A465-94
V.LO DELLA ROGGIA | ASIAGO | VIA-A465-94-1154 | COM-A465-94
V.LO MATTEOTTI | ASIAGO | VIA-A465-94-541 | COM-A465-94
V.LO MAZZINI | ASIAGO | VIA-A465-94-762 | COM-A465-94
VIA A. PIGAFETTA | ASIAGO | VIA-A465-94-1159 | COM-A465-94
VIA ABATE COSTA | ASIAGO | VIA-A465-94-532 | COM-A465-94
VIA APROSIO | ASIAGO | VIA-A465-94-568 | COM-A465-94
VIA AUTIERI DITALIA | ASIAGO | VIA-A465-94-633 | COM-A465-94
VIA AVE | ASIAGO | VIA-A465-94-527 | COM-A465-94
VIA BASSANO | ASIAGO | VIA-A465-94-634 | COM-A465-94
VIA BATTISTI | ASIAGO | VIA-A465-94-504 | COM-A465-94
VIA BELLINI | ASIAGO | VIA-A465-94-653 | COM-A465-94
VIA BELVEDERE | ASIAGO | VIA-A465-94-809 | COM-A465-94
VIA BERARDI | ASIAGO | VIA-A465-94-569 | COM-A465-94
VIA BERGA | ASIAGO | VIA-A465-94-587 | COM-A465-94
VIA BERTACCHI | ASIAGO | VIA-A465-94-71929 | COM-A465-94
VIA BERTIGO | ASIAGO | VIA-A465-94-71971 | COM-A465-94
VIA BOITO | ASIAGO | VIA-A465-94-654 | COM-A465-94
VIA BOLZANO | ASIAGO | VIA-A465-94-588 | COM-A465-94
VIA BONATO | ASIAGO | VIA-A465-94-543 | COM-A465-94
VIA BORTONI | ASIAGO | VIA-A465-94-589 | COM-A465-94
VIA BOSCHETTI | ASIAGO | VIA-A465-94-728 | COM-A465-94
VIA BOSCO | ASIAGO | VIA-A465-94-71955 | COM-A465-94
VIA BRG. IVREA | ASIAGO | VIA-A465-94-71989 | COM-A465-94
VIA BRG. LIGURIA | ASIAGO | VIA-A465-94-808 | COM-A465-94
VIA BRG. LUPI DI TOSCANA | ASIAGO | VIA-A465-94-1153 | COM-A465-94
VIA BRG. PERUGIA | ASIAGO | VIA-A465-94-71991 | COM-A465-94
VIA BRG. PIEMONTE | ASIAGO | VIA-A465-94-693 | COM-A465-94
VIA BRG. SASSARI | ASIAGO | VIA-A465-94-802 | COM-A465-94
VIA BRG. TREVISO | ASIAGO | VIA-A465-94-694 | COM-A465-94
VIA BRUNIALTI | ASIAGO | VIA-A465-94-71963 | COM-A465-94
VIA BTG.  BASSANO | ASIAGO | VIA-A465-94-501 | COM-A465-94
VIA BTG. VERONA | ASIAGO | VIA-A465-94-814 | COM-A465-94
VIA BTG. VICENZA | ASIAGO | VIA-A465-94-71931 | COM-A465-94
VIA BUSA | ASIAGO | VIA-A465-94-611 | COM-A465-94
VIA BUSCAR | ASIAGO | VIA-A465-94-591 | COM-A465-94
VIA CA' BISA | ASIAGO | VIA-A465-94-699 | COM-A465-94
VIA CAIROLI | ASIAGO | VIA-A465-94-528 | COM-A465-94
